latitude,longitude,name,pueblo,beach link,hazard level
18.387800,-67.214660,Pico de Piedra,Aguada,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_pkpdra.png,medium
18.414660,-67.163280,Parque Colon,Aguadilla,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_pcolon.png,medium
18.458710,-67.166200,Crashboat,Aguadilla,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_crash.png,medium
18.432050,-67.157280,Aguadilla Breakwater,Aguadilla,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_rompe.png,medium
18.507360,-67.141380,Surfers Beach,Aguadilla,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_surfrs.png,high
18.478930,-66.706320,Muelle Arecibo,Arecibo,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_mueare.png,high
18.484210,-66.695110,Poza del Obispo,Arecibo,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_obisp.png,high
17.957030,-66.033970,Balneario Arroyo,Arroyo,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_balarr.png,medium
17.950370,-66.041980,Villa Fomento,Arroyo,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_vfomen.png,medium
17.970000,-67.216700,Combate,Cabo_Rojo,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_comb.png,medium
17.987800,-67.216700,Mojacasabe,Cabo_Rojo,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_moja.png,medium
18.012200,-67.176700,Balneario Boqueron,Cabo_Rojo,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_balbq.png,medium
18.051130,-67.208920,Playa Buye,Cabo_Rojo,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_buye.png,medium
18.065380,-67.206240,Villa Lamela,Cabo_Rojo,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_lamela.png,medium
17.928640,-67.188470,Playa Sucia,Cabo_Rojo,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_psuc.png,medium
18.493760,-66.852970,Penon Brusi,Camuy,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_penbru.png,high
18.457800,-66.133300,La Esperanza,Catano,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_ctno.png,medium
18.337490,-65.315940,Playa Flamenco,Culebra,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_flamnc.png,high
18.481000,-66.286150,Balneario Dorado,Dorado,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_baldor.png,high
18.372090,-65.636020,Seven Seas,Fajardo,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_sevsea.png,medium
18.363880,-65.669258,Playa Escondida,Fajardo,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_esco.png,medium
17.949380,-66.882300,Cana Gorda,Guanica,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_cgor.png,medium
17.935820,-66.959510,Playa Santa,Guanica,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_psan.png,medium
17.952370,-66.856180,Playa Ballena,Guanica,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_ball.png,medium
18.140000,-65.740000,Balneario Humacao,Humacao,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_balhum.png,medium
18.081963,-65.787744,Palmas del Mar,Humacao,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_palmas.png,medium
18.517110,-67.077100,Playa Jobos,Isabela,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_jobos.png,high
17.968980,-67.030660,Playita Rosada,Lajas,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_pros.png,medium
18.447407,-65.915614,Vacia Talega 1,Loiza,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_vata1.png,medium
18.449193,-65.907849,Vacia Talega 2,Loiza,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_vata2.png,medium
18.458081,-65.975047,Pinones,Loiza,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_pino.png,high
18.388210,-65.736640,Balneario Luquillo,Luquillo,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_balluq.png,medium
18.383410,-65.718540,Costa Azul,Luquillo,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_cazul.png,high
18.378100,-65.712750,La Pared,Luquillo,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_lpared.png,high
18.479650,-66.452910,Los Tubos,Manati,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_tubos.png,high
18.481000,-66.484960,Mar Chiquita,Manati,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_marchi.png,high
17.970760,-65.994420,Los Bajos,Patillas,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_bajos.png,medium
17.965610,-66.603040,Punta Cabullones,Ponce,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_ptacb.png,medium
18.490860,-66.956760,Tunel Guajataca,Quebradillas,http://caricoos.org/swan_multigrid_swanwrf/beach_safety/beach_safety_bulletin_guaja.png,high
